ID,region,locality,sites,Age_MPA,Class,lat,lon,biomassarea,biomassarea1,biomassarea2,grav_total,ModelMode,FE_Fish,Larval_behaviour,LocalRet,Indegree,Outdegree,Btw
V3976,sw_pacific,northern_coral_sea,northern_coral_sea_4,7,Restricted,-10.3577,144.5305,1128.91385,811.7306375,964.4712278,0.994734012,pare ,pare ,passive,0,17,72,4290.139066
V3979,sw_pacific,northern_coral_sea,northern_coral_sea_10,7,Restricted,-10.2241,144.4123,2287.821939,946.8460724,1511.511439,1.037367592,pare ,pare ,passive,0,71,95,20066.41512
V3979,sw_pacific,northern_coral_sea,northern_coral_sea_7,7,Restricted,-10.1294,144.4492,1002.1677,624.3607264,624.3607264,1.163168594,pare ,pare ,passive,0,71,95,20066.41512
V3980,sw_pacific,northern_coral_sea,northern_coral_sea_3,7,Restricted,-10.4418,144.4436,1093.677136,600.6081732,959.564147,0.930257788,pare ,pare ,passive,0,138,41,10048.00555
V3981,sw_pacific,northern_coral_sea,northern_coral_sea_6,7,Restricted,-10.185,144.5828,1816.999773,939.4397659,1311.323451,1.159310673,pare ,pare ,passive,1,187,57,77027.94575
V4043,sw_pacific,queensland_(other),queensland_(other)_17,0,Fished,-9.9467,144.0261,908.0844418,560.0045611,560.0045611,1.226788768,pare ,pare ,passive,0,173,50,11203.53678
V4044,sw_pacific,queensland_(other),queensland_(other)_18,0,Fished,-10.063,143.8639,896.6307084,613.000814,613.000814,1.04806209,pare ,pare ,passive,0,85,62,11088.23513
V4049,sw_pacific,queensland_(other),queensland_(other)_16,0,Fished,-9.9628,144.1534,1539.778863,1003.516175,1036.22683,1.247758104,pare ,pare ,passive,0,35,53,3155.632179
V4181,sw_pacific,central_gbr,central_gbr_20,15,Restricted,-18.6505,147.403,154.3649673,153.1607444,153.1607444,2.843159731,pare ,pare ,passive,1,409,167,31931.21048
V4342,sw_pacific,whitsundays,whitsundays_2,15,Closed,-19.8131,149.1345,562.500567,423.0430407,423.0430407,2.346484256,pare ,pare ,passive,0,178,228,4012.388747
