"","cond((Int))","disp((Int))","cond(Age_of_protection)","cond(btwdegree)","cond(Class)","cond(FE)","cond(grav_neiBR)","cond(IndegreeMPABR)","cond(InflowNeiBR)","cond(Outdegree)","cond(Richness)","cond(SelfR)","cond(temp)","cond(grav_neiBR.1)","cond(IndegreeBR)","cond(InflowBR)","cond(IndegreeNeiBR)","cond(InflowLR)","cond(InflowMPABR)","cond(CorridorIndegreeBR)","AIC","BIC","R2.R2m","R2.R2c","family","df","logLik","AICc","delta","weight"
"1768",5.97230684391287,"+",-0.022749383903175,NA,"+","+",NA,NA,NA,NA,0.464250162832665,0.0249210761782632,0.25486950455395,NA,NA,-0.184473228520858,NA,NA,NA,NA,45231.9546303888,45329.5814743481,0.128439615480239,0.200881534160663,"Gamma(log)",16,-22599.9773151944,45232.1203324906,157.931244484331,3.75916106604739e-36
"4823",5.87976689124277,"+",-0.00425019743659435,-0.0661278073624018,"+",NA,-0.151399339291085,NA,NA,NA,0.54844994276192,NA,NA,NA,NA,NA,NA,-0.136138520332337,NA,NA,45232.0870586232,45311.4088693401,0.127505499647953,0.279170571906732,"Gamma(log)",13,-22603.0435293116,45232.1978315994,158.008743593185,3.61628138932743e-36
"5132",5.87976717633538,"+",-0.00425094998132759,-0.0661272193757104,"+",NA,NA,NA,NA,NA,0.548449453395781,NA,NA,-0.151399100292067,NA,NA,NA,-0.136137854202602,NA,NA,45232.0870592635,45311.4088699804,0.127505354439119,0.279170719901775,"Gamma(log)",13,-22603.0435296318,45232.1978322398,158.008744233557,3.61628023144569e-36
"1723",5.96311730755002,"+",-0.0169220716819966,-0.0864063358751841,"+",NA,NA,NA,-0.124492167392576,NA,0.47204831080498,-0.013711822233723,0.253898496415624,NA,NA,NA,NA,NA,NA,NA,45232.2537037648,45317.6771922292,0.12724096017801,0.19483962703331,"Gamma(log)",14,-22602.1268518824,45232.3815576461,158.192469639813,3.29888071621244e-36
"1887",5.96940191130481,"+",NA,-0.084265949237905,"+","+",NA,NA,NA,NA,0.46665561286657,-0.0284474510497729,0.261728676801648,NA,-0.13409326178436,NA,NA,NA,NA,NA,45232.4298827778,45330.0567267371,0.127511986082286,0.195791144205389,"Gamma(log)",16,-22600.2149413889,45232.5955848796,158.406496873307,2.96408865412861e-36
"3130",5.87740879608656,"+",NA,-0.0631622019031208,"+","+",NA,NA,NA,NA,0.56269677161632,NA,NA,-0.147525973485297,NA,NA,-0.0993673312765106,-0.104861307532642,NA,NA,45232.4728391823,45330.0996831415,0.123491944610277,0.274868465128463,"Gamma(log)",16,-22600.2364195911,45232.638541284,158.449453277746,2.90110417657052e-36
"2819",5.87740696306364,"+",NA,-0.0631620402001111,"+","+",-0.147525967169588,NA,NA,NA,0.562696354913657,NA,NA,NA,NA,NA,-0.0993672050989983,-0.104861521695559,NA,NA,45232.4728395384,45330.0996834977,0.12349194695947,0.274868835117851,"Gamma(log)",16,-22600.2364197692,45232.6385416401,158.449453633868,2.90110365999743e-36
"4936",5.87390215681091,"+",NA,-0.0656499601953226,"+",NA,-0.154021833606136,NA,NA,NA,0.551224337352665,0.0417356980962632,NA,NA,NA,-0.142205412204765,NA,NA,NA,NA,45232.5524365149,45311.8742472318,0.126260220368169,0.281399122366098,"Gamma(log)",13,-22603.2762182575,45232.6632094912,158.47412148492,2.86554142531516e-36
"5345",5.87390214832351,"+",NA,-0.0656499830523651,"+",NA,NA,NA,NA,NA,0.551224424669855,0.0417356689977595,NA,-0.154021829954555,NA,-0.142205406704709,NA,NA,NA,NA,45232.5524373673,45311.8742480842,0.126260250197962,0.281399153495135,"Gamma(log)",13,-22603.2762186836,45232.6632103436,158.474122337306,2.86554020404214e-36
"7457",5.87797665352588,"+",NA,-0.0662421746623855,"+",NA,NA,NA,NA,NA,0.546933263916041,NA,NA,-0.153897609284972,NA,-0.125273508354184,NA,NA,NA,NA,45232.5902654982,45305.8103984677,0.12680620390891,0.282654235969928,"Gamma(log)",12,-22604.2951327491,45232.6851848776,158.496096871335,2.83422808100705e-36
