"","From","To","Prob"
"371809","V1709","V1822",50
"371810","V1710","V1822",20
"371813","V1713","V1822",14
"371814","V1714","V1822",24
"371815","V1715","V1822",20
"371816","V1716","V1822",14
"371818","V1718","V1822",24
"371821","V1721","V1822",2
"371852","V1752","V1822",26
"371854","V1754","V1822",12
"371914","V1814","V1822",4
"371922","V1822","V1822",164
"371923","V1823","V1822",248
"371976","V1876","V1822",2
"371991","V1891","V1822",8
"371993","V1893","V1822",10
"372007","V1907","V1822",24
"372009","V1909","V1822",4
"372011","V1911","V1822",2
"372013","V1913","V1822",170
"372016","V1916","V1822",2
"372019","V1919","V1822",2
"372021","V1921","V1822",14
"372022","V1922","V1822",6
"372025","V1925","V1822",114
"372030","V1930","V1822",20
"372116","V2016","V1822",4
"372119","V2019","V1822",2
"372121","V2021","V1822",10
"372127","V2027","V1822",4
"372142","V2042","V1822",22
"372153","V2053","V1822",2
"372159","V2059","V1822",2
"372163","V2063","V1822",10
"372164","V2064","V1822",8
"372258","V2158","V1822",10
"372259","V2159","V1822",6
"372262","V2162","V1822",2
"372264","V2164","V1822",6
"372267","V2167","V1822",4
"372268","V2168","V1822",4
"372275","V2175","V1822",2
"372282","V2182","V1822",6
"372290","V2190","V1822",6
"372293","V2193","V1822",4
"372300","V2200","V1822",8
"372302","V2202","V1822",6
"372303","V2203","V1822",6
"372304","V2204","V1822",18
"372305","V2205","V1822",2
"372306","V2206","V1822",2
"372308","V2208","V1822",4
"372311","V2211","V1822",2
"372312","V2212","V1822",14
"372322","V2222","V1822",4
"372328","V2228","V1822",2
"372335","V2235","V1822",10
"372343","V2243","V1822",2
"372347","V2247","V1822",10
"372349","V2249","V1822",10
"372356","V2256","V1822",4
"372359","V2259","V1822",8
"372386","V2286","V1822",2
"372393","V2293","V1822",2
"372411","V2311","V1822",6
"372414","V2314","V1822",2
"372417","V2317","V1822",2
"372418","V2318","V1822",4
"372421","V2321","V1822",2
"372426","V2326","V1822",2
"372471","V2371","V1822",10
"372477","V2377","V1822",14
"372487","V2387","V1822",2
"372489","V2389","V1822",18
"372490","V2390","V1822",8
"372491","V2391","V1822",2
"372503","V2403","V1822",4
"372512","V2412","V1822",4
"372515","V2415","V1822",2
"372519","V2419","V1822",2
"372526","V2426","V1822",4
"372536","V2436","V1822",2
"372543","V2443","V1822",2
"372550","V2450","V1822",2
"372589","V2489","V1822",4
"372596","V2496","V1822",4
"372598","V2498","V1822",4
"372599","V2499","V1822",2
"372614","V2514","V1822",4
"372618","V2518","V1822",4
"372621","V2521","V1822",2
"372623","V2523","V1822",2
"372630","V2530","V1822",6
"372631","V2531","V1822",8
"372634","V2534","V1822",4
"372635","V2535","V1822",2
"372645","V2545","V1822",4
