"","From","To","Prob"
"176134","V13290","V1271",1
"176138","V13294","V1271",1
"176140","V13296","V1271",1
"176141","V13297","V1271",4
"176149","V13305","V1271",2
"176150","V13306","V1271",2
"176151","V13307","V1271",2
"176152","V13308","V1271",2
"176153","V13309","V1271",1
"176156","V13312","V1271",1
"176171","V13327","V1271",1
"176493","V13649","V1271",1
"176502","V13658","V1271",1
"176524","V13680","V1271",3
"178917","V1269","V1272",2
"178918","V1270","V1272",1
"178919","V1271","V1272",3
"178920","V1272","V1272",1
"178921","V1273","V1272",1
"178922","V1274","V1272",2
"178925","V1277","V1272",1
"178927","V1279","V1272",2
"178931","V1283","V1272",2
"178932","V1284","V1272",1
"178933","V1285","V1272",5
"178934","V1286","V1272",1
"178935","V1287","V1272",3
"178936","V1288","V1272",4
"178937","V1289","V1272",1
"178938","V1290","V1272",1
"178939","V1291","V1272",13
"178941","V1293","V1272",1
"178942","V1294","V1272",4
"178943","V1295","V1272",2
"178944","V1296","V1272",1
"178948","V1300","V1272",1
"178951","V1303","V1272",2
"178952","V1304","V1272",4
"178953","V1305","V1272",2
"178954","V1306","V1272",5
"178955","V1307","V1272",1
"178957","V1309","V1272",4
"178958","V1310","V1272",3
"178959","V1311","V1272",5
"178960","V1312","V1272",2
"178961","V1313","V1272",1
"178963","V1315","V1272",1
"178965","V1317","V1272",17
"178966","V1318","V1272",1
"178967","V1319","V1272",14
"178970","V1322","V1272",1
"178971","V1323","V1272",19
"178975","V1327","V1272",1
"178976","V1328","V1272",2
"178977","V1329","V1272",1
"178978","V1330","V1272",1
"178980","V1332","V1272",2
"178982","V1334","V1272",3
"178983","V1335","V1272",3
"178994","V1346","V1272",1
"179004","V1356","V1272",1
"179017","V1369","V1272",5
"179019","V1371","V1272",1
"179023","V1375","V1272",5
"179024","V1376","V1272",1
"179029","V1381","V1272",6
"179030","V1382","V1272",1
"179031","V1383","V1272",1
"179032","V1384","V1272",2
"179034","V1386","V1272",6
"179038","V1390","V1272",1
"179044","V1396","V1272",1
"179045","V1397","V1272",3
"179047","V1399","V1272",2
"179048","V1400","V1272",1
"179049","V1401","V1272",4
"179050","V1402","V1272",1
"179052","V1404","V1272",1
"179053","V1405","V1272",3
"179055","V1407","V1272",5
"179056","V1408","V1272",3
"179057","V1409","V1272",10
"179058","V1410","V1272",2
"179059","V1411","V1272",2
"179061","V1413","V1272",3
"179062","V1414","V1272",14
"179063","V1415","V1272",3
"179064","V1416","V1272",8
"179065","V1417","V1272",9
"179066","V1418","V1272",3
"179067","V1419","V1272",5
"179069","V1421","V1272",4
