"","From","To","Prob"
"342895","V2403","V1747",15
"342902","V2410","V1747",15
"343041","V2549","V1747",15
"343492","V3000","V1747",25
"357007","V1711","V1782",15
"357019","V1723","V1782",15
"357055","V1759","V1782",20
"357067","V1771","V1782",15
"357209","V1913","V1782",15
"365944","V10648","V1782",15
"365987","V10691","V1782",15
"365997","V10701","V1782",15
"366011","V10715","V1782",15
"366016","V10720","V1782",15
"366032","V10736","V1782",15
"366034","V10738","V1782",15
"366063","V10767","V1782",15
"366070","V10774","V1782",15
"371495","V1395","V1822",15
"371706","V1606","V1822",15
"371710","V1610","V1822",15
"371714","V1614","V1822",15
"371717","V1617","V1822",15
"371718","V1618","V1822",15
"371719","V1619","V1822",15
"371729","V1629","V1822",15
"371733","V1633","V1822",20
"371736","V1636","V1822",20
"371737","V1637","V1822",15
"371741","V1641","V1822",20
"371743","V1643","V1822",20
"371749","V1649","V1822",15
"371756","V1656","V1822",20
"371762","V1662","V1822",15
"371806","V1706","V1822",15
"371809","V1709","V1822",15
"371813","V1713","V1822",15
"371819","V1719","V1822",15
"371820","V1720","V1822",20
"371822","V1722","V1822",15
"371855","V1755","V1822",15
"371856","V1756","V1822",20
"371920","V1820","V1822",20
"371927","V1827","V1822",15
"371929","V1829","V1822",30
"371930","V1830","V1822",35
"371934","V1834","V1822",15
"371936","V1836","V1822",15
"371939","V1839","V1822",20
"371940","V1840","V1822",20
"371942","V1842","V1822",30
"371945","V1845","V1822",40
"371956","V1856","V1822",20
"371958","V1858","V1822",40
"371960","V1860","V1822",20
"371961","V1861","V1822",25
"371963","V1863","V1822",20
"371965","V1865","V1822",20
"371966","V1866","V1822",20
"371968","V1868","V1822",15
"371979","V1879","V1822",15
"371989","V1889","V1822",15
"371990","V1890","V1822",20
"371995","V1895","V1822",25
"371996","V1896","V1822",25
"372001","V1901","V1822",15
"372003","V1903","V1822",15
"372009","V1909","V1822",15
"372010","V1910","V1822",15
"372011","V1911","V1822",15
"372015","V1915","V1822",15
"372019","V1919","V1822",15
"372025","V1925","V1822",20
"372027","V1927","V1822",15
"372029","V1929","V1822",15
"372030","V1930","V1822",40
"372032","V1932","V1822",15
"372033","V1933","V1822",15
"372043","V1943","V1822",25
"372102","V2002","V1822",25
"372103","V2003","V1822",15
"372159","V2059","V1822",25
"372205","V2105","V1822",15
"372258","V2158","V1822",15
"372264","V2164","V1822",15
"372267","V2167","V1822",15
"372274","V2174","V1822",15
"372292","V2192","V1822",20
"372295","V2195","V1822",15
"372310","V2210","V1822",15
"372312","V2212","V1822",25
"372325","V2225","V1822",15
"372327","V2227","V1822",15
"372336","V2236","V1822",15
"372342","V2242","V1822",15
"372368","V2268","V1822",15
"372426","V2326","V1822",15
"372445","V2345","V1822",20
"372486","V2386","V1822",30
"372495","V2395","V1822",30
"372499","V2399","V1822",25
"372502","V2402","V1822",25
"372503","V2403","V1822",15
"372521","V2421","V1822",20
"372528","V2428","V1822",15
"372581","V2481","V1822",15
"372582","V2482","V1822",15
"372599","V2499","V1822",15
"372605","V2505","V1822",15
"372607","V2507","V1822",15
"372616","V2516","V1822",15
"372620","V2520","V1822",15
"372621","V2521","V1822",25
"372626","V2526","V1822",20
"372627","V2527","V1822",20
"372631","V2531","V1822",15
"372639","V2539","V1822",15
"372645","V2545","V1822",25
"372648","V2548","V1822",15
"386454","V1550","V1823",15
"386519","V1615","V1823",15
"386521","V1617","V1823",15
"386522","V1618","V1823",25
"386524","V1620","V1823",25
"386525","V1621","V1823",20
"386528","V1624","V1823",15
"386533","V1629","V1823",15
"386541","V1637","V1823",15
"386545","V1641","V1823",25
"386546","V1642","V1823",15
"386553","V1649","V1823",15
"386554","V1650","V1823",15
"386560","V1656","V1823",15
"386565","V1661","V1823",15
"386598","V1694","V1823",15
"386610","V1706","V1823",15
"386611","V1707","V1823",15
"386612","V1708","V1823",20
"386624","V1720","V1823",15
"386626","V1722","V1823",20
"386647","V1743","V1823",25
"386648","V1744","V1823",15
"386652","V1748","V1823",15
"386655","V1751","V1823",25
"386656","V1752","V1823",15
"386658","V1754","V1823",15
"386659","V1755","V1823",15
"386660","V1756","V1823",15
"386667","V1763","V1823",15
"386675","V1771","V1823",25
"386723","V1819","V1823",20
"386724","V1820","V1823",15
"386739","V1835","V1823",20
"386740","V1836","V1823",20
"386741","V1837","V1823",20
"386742","V1838","V1823",15
"386743","V1839","V1823",25
"386744","V1840","V1823",15
"386746","V1842","V1823",20
"386748","V1844","V1823",15
"386749","V1845","V1823",15
"386751","V1847","V1823",40
"386753","V1849","V1823",15
"386755","V1851","V1823",15
"386759","V1855","V1823",15
"386760","V1856","V1823",15
"386764","V1860","V1823",15
"386765","V1861","V1823",15
"386767","V1863","V1823",15
