ID,Id2,Lon,Lat,SOVEREIGN1,DESIG_ENG,IUCN_CAT,NO_TAKE,Class,General
V309,306,96.12,2.38,Indonesia,,,,Fished,Fished
V310,307,96.12,2.3,Indonesia,,,,Fished,Fished
V311,308,97.4,2.22,Indonesia,Nature Recreation Park,Ia,Part,Closed,MPA
V312,309,96.52,2.3,Indonesia,,,,Fished,Fished
V313,310,97,2.3,Indonesia,,,,Fished,Fished
V314,311,97.64,2.38,Indonesia,,,,Fished,Fished
V315,312,97.56,2.46,Indonesia,,,,Fished,Fished
V316,313,96.52,2.46,Indonesia,,,,Fished,Fished
V317,314,96.2,2.3,Indonesia,,,,Fished,Fished
V318,315,97.16,2.38,Indonesia,,,,Fished,Fished
V319,316,96.36,2.3,Indonesia,,,,Fished,Fished
V320,317,96.2,2.38,Indonesia,,,,Fished,Fished
V321,318,97.4,2.38,Indonesia,,,,Fished,Fished
V322,319,97.48,2.38,Indonesia,,,,Fished,Fished
V323,320,97.48,2.22,Indonesia,Nature Recreation Park,Ia,Part,Closed,MPA
V324,321,97.96,2.22,Indonesia,,,,Fished,Fished
V325,322,97.88,2.22,Indonesia,,,,Fished,Fished
V326,323,96.68,2.22,Indonesia,,,,Fished,Fished
V327,324,98.04,2.06,Indonesia,,,,Fished,Fished
V328,325,98.2,2.06,Indonesia,,,,Fished,Fished
V329,326,96.6,2.06,Indonesia,,,,Fished,Fished
V330,327,97.96,2.06,Indonesia,,,,Fished,Fished
V331,328,97.32,2.06,,Nature Recreation Park,Ia,Part,Closed,MPA
V332,329,97.4,2.06,Indonesia,Nature Recreation Park,Ia,Part,Closed,MPA
V333,330,98.12,2.06,Indonesia,,,,Fished,Fished
V334,331,98.28,1.98,Indonesia,,,,Fished,Fished
V335,332,97.32,1.98,Indonesia,,,,Fished,Fished
V336,333,98.36,1.98,Indonesia,,,,Fished,Fished
V337,334,97.16,1.98,Indonesia,,,,Fished,Fished
V338,335,97.08,1.98,Indonesia,,,,Fished,Fished
V339,336,98.12,1.98,Indonesia,,,,Fished,Fished
V340,337,98.04,2.14,Indonesia,,,,Fished,Fished
V341,338,97.16,2.14,Indonesia,Nature Recreation Park,Ia,Part,Closed,MPA
