ID,ID2,Lon,Lat,TERRITORY1,Grav_tot,ECOREGION,PROVINCE
V293,290,96.04,2.54,Indonesia,94,Western Sumatra,Andaman
V294,291,97.56,2.62,Indonesia,107,Western Sumatra,Andaman
V295,292,96.04,2.46,Indonesia,0,Western Sumatra,Andaman
V296,293,96.12,2.46,Indonesia,48,Western Sumatra,Andaman
V297,294,95.8,2.54,Indonesia,36,Western Sumatra,Andaman
V298,295,96.44,2.54,Indonesia,49,Western Sumatra,Andaman
V299,296,95.72,2.7,Indonesia,1434,Western Sumatra,Andaman
V300,297,97.32,2.78,Indonesia,0,Western Sumatra,Andaman
V301,298,96.12,2.78,Indonesia,0,Western Sumatra,Andaman
V302,299,96.44,2.62,Indonesia,0,Western Sumatra,Andaman
V303,300,95.8,2.62,Indonesia,65,Western Sumatra,Andaman
V304,301,96.36,2.7,Indonesia,0,Western Sumatra,Andaman
V305,302,97.48,2.3,Indonesia,75,Western Sumatra,Andaman
V306,303,97.56,2.3,Indonesia,0,Western Sumatra,Andaman
V307,304,96.44,2.3,Indonesia,40,Western Sumatra,Andaman
V308,305,97.24,2.38,Indonesia,70,Western Sumatra,Andaman
V309,306,96.12,2.38,Indonesia,36,Western Sumatra,Andaman
V310,307,96.12,2.3,Indonesia,0,Western Sumatra,Andaman
V311,308,97.4,2.22,Indonesia,70,Western Sumatra,Andaman
V312,309,96.52,2.3,Indonesia,0,Western Sumatra,Andaman
V313,310,97,2.3,Indonesia,57,Western Sumatra,Andaman
V314,311,97.64,2.38,Indonesia,81,Western Sumatra,Andaman
V315,312,97.56,2.46,Indonesia,84,Western Sumatra,Andaman
V316,313,96.52,2.46,Indonesia,46,Western Sumatra,Andaman
V317,314,96.2,2.3,Indonesia,0,Western Sumatra,Andaman
V318,315,97.16,2.38,Indonesia,67,Western Sumatra,Andaman
V319,316,96.36,2.3,Indonesia,39,Western Sumatra,Andaman
V320,317,96.2,2.38,Indonesia,44,Western Sumatra,Andaman
V321,318,97.4,2.38,Indonesia,74,Western Sumatra,Andaman
V322,319,97.48,2.38,Indonesia,77,Western Sumatra,Andaman
V323,320,97.48,2.22,Indonesia,73,Western Sumatra,Andaman
V324,321,97.96,2.22,Indonesia,120,Western Sumatra,Andaman
V325,322,97.88,2.22,Indonesia,110,Western Sumatra,Andaman
V326,323,96.68,2.22,Indonesia,42,Western Sumatra,Andaman
V327,324,98.04,2.06,Indonesia,140,Western Sumatra,Andaman
V328,325,98.2,2.06,Indonesia,166,Western Sumatra,Andaman
V329,326,96.6,2.06,Indonesia,0,Western Sumatra,Andaman
V330,327,97.96,2.06,Indonesia,124,Western Sumatra,Andaman
V331,328,97.32,2.06,,71,Western Sumatra,Andaman
V332,329,97.4,2.06,Indonesia,68,Western Sumatra,Andaman
V333,330,98.12,2.06,Indonesia,140,Western Sumatra,Andaman
V334,331,98.28,1.98,Indonesia,223,Western Sumatra,Andaman
V335,332,97.32,1.98,Indonesia,66,Western Sumatra,Andaman
V336,333,98.36,1.98,Indonesia,306,Western Sumatra,Andaman
V337,334,97.16,1.98,Indonesia,62,Western Sumatra,Andaman
V338,335,97.08,1.98,Indonesia,92,Western Sumatra,Andaman
V339,336,98.12,1.98,Indonesia,149,Western Sumatra,Andaman
V340,337,98.04,2.14,Indonesia,140,Western Sumatra,Andaman
V341,338,97.16,2.14,Indonesia,60,Western Sumatra,Andaman
V342,339,97.4,2.14,Indonesia,68,Western Sumatra,Andaman
V343,340,96.6,2.22,Indonesia,39,Western Sumatra,Andaman
V344,341,97.08,2.14,Indonesia,70,Western Sumatra,Andaman
V345,342,97.08,2.06,Indonesia,70,Western Sumatra,Andaman
V346,343,98.12,2.14,Indonesia,140,Western Sumatra,Andaman
V347,344,97.24,2.14,Indonesia,71,Western Sumatra,Andaman
V348,345,97.88,2.14,Indonesia,110,Western Sumatra,Andaman
V349,346,97.96,2.14,Indonesia,124,Western Sumatra,Andaman
V350,347,97.4,1.66,Indonesia,0,Western Sumatra,Andaman
V351,348,98.04,1.74,Indonesia,122,Western Sumatra,Andaman
V352,349,98.44,1.74,Indonesia,184,Western Sumatra,Andaman
V353,350,98.52,1.58,,174,Western Sumatra,Andaman
V354,351,97.48,1.74,Indonesia,75,Western Sumatra,Andaman
V355,352,97.4,1.74,Indonesia,0,Western Sumatra,Andaman
V356,353,98.04,1.66,Indonesia,0,Western Sumatra,Andaman
V357,354,97.96,1.9,Indonesia,125,Western Sumatra,Andaman
V358,355,98.04,1.9,Indonesia,141,Western Sumatra,Andaman
V359,356,98.52,1.82,Indonesia,324,Western Sumatra,Andaman
V360,357,97.48,1.98,Indonesia,75,Western Sumatra,Andaman
V361,358,97.96,1.98,Indonesia,131,Western Sumatra,Andaman
V362,359,97.4,1.9,Indonesia,69,Western Sumatra,Andaman
V363,360,98.12,1.9,Indonesia,141,Western Sumatra,Andaman
V364,361,98.12,1.74,Indonesia,122,Western Sumatra,Andaman
V365,362,97.96,1.74,Indonesia,110,Western Sumatra,Andaman
V366,363,98.2,1.74,Indonesia,132,Western Sumatra,Andaman
