"","ID","Lon","Lat","General","PROVINCE","Kulbicki","crypto5BROF","crypto5BRIF","pare5BRin","pare5BRout"
"238","V238",95.08,5.34,"Fished","Andaman","Central Indo_Pacific",3546,2952,32,35
"239","V239",95.08,5.1,"Fished","Andaman","Central Indo_Pacific",3523,431,38,54
"240","V240",95.16,5.02,"Fished","Andaman","Central Indo_Pacific",3525,588,32,34
"241","V241",96.6,3.58,"Fished","Andaman","Central Indo_Pacific",3289,2484,57,55
"242","V242",96.76,3.58,"Fished","Andaman","Central Indo_Pacific",3688,5172,21,24
"243","V243",96.6,3.5,"Fished","Andaman","Central Indo_Pacific",3446,2422,41,40
"244","V244",96.76,3.5,"Fished","Andaman","Central Indo_Pacific",3281,4736,63,56
"245","V245",96.44,3.58,"Fished","Andaman","Central Indo_Pacific",3478,233,28,36
"246","V246",96.92,3.58,"Fished","Andaman","Central Indo_Pacific",3565,1249,27,33
"247","V247",96.68,3.58,"Fished","Andaman","Central Indo_Pacific",3573,906,33,32
"248","V248",96.36,3.58,"Fished","Andaman","Central Indo_Pacific",3470,381,31,47
"249","V249",96.84,3.42,"Fished","Andaman","Central Indo_Pacific",3359,777,44,82
"250","V250",96.84,3.5,"Fished","Andaman","Central Indo_Pacific",3723,10590,21,20
"251","V251",96.92,3.42,"Fished","Andaman","Central Indo_Pacific",3565,510,32,46
"252","V252",96.76,3.42,"Fished","Andaman","Central Indo_Pacific",3728,4832,22,37
"253","V253",96.52,3.5,"Fished","Andaman","Central Indo_Pacific",2867,3887,48,87
"254","V254",97,3.5,"Fished","Andaman","Central Indo_Pacific",2891,2034,39,102
"255","V255",96.68,3.5,"Fished","Andaman","Central Indo_Pacific",2824,12,1,48
"256","V256",96.92,3.5,"Fished","Andaman","Central Indo_Pacific",2677,752,43,98
"257","V257",95.56,4.3,"Fished","Andaman","Central Indo_Pacific",2745,560,48,104
"258","V258",95.48,4.38,"Fished","Andaman","Central Indo_Pacific",2744,1053,44,78
"259","V259",96.12,4.14,"Fished","Andaman","Central Indo_Pacific",2830,1301,46,87
"260","V260",95.32,4.46,"Fished","Andaman","Central Indo_Pacific",3566,2582,19,22
"261","V261",95.4,4.38,"Fished","Andaman","Central Indo_Pacific",3570,4754,34,38
"262","V262",95.48,4.3,"Fished","Andaman","Central Indo_Pacific",3372,3594,51,49
"263","V263",95.4,4.46,"Fished","Andaman","Central Indo_Pacific",2974,2679,55,82
"264","V264",96.84,3.66,"Fished","Andaman","Central Indo_Pacific",3695,4222,38,19
"265","V265",96.76,3.66,"Fished","Andaman","Central Indo_Pacific",3629,2572,62,31
"266","V266",96.52,3.66,"Fished","Andaman","Central Indo_Pacific",3773,5928,28,15
"267","V267",95.8,3.9,"Fished","Andaman","Central Indo_Pacific",2810,2480,65,29
"268","V268",97.4,2.94,"Fished","Andaman","Central Indo_Pacific",3676,12514,58,28
"269","V269",97.32,2.86,"Fished","Andaman","Central Indo_Pacific",2011,1007,62,62
"270","V270",97.48,2.86,"Fished","Andaman","Central Indo_Pacific",3599,6817,53,26
"271","V271",95.88,2.94,"Fished","Andaman","Central Indo_Pacific",2385,3253,65,37
"272","V272",97.32,2.94,"Fished","Andaman","Central Indo_Pacific",3496,2724,30,24
"273","V273",95.56,2.94,"Fished","Andaman","Central Indo_Pacific",3630,6115,43,22
"274","V274",97.48,2.78,"Fished","Andaman","Central Indo_Pacific",3597,4621,57,24
"275","V275",95.64,2.78,"Fished","Andaman","Central Indo_Pacific",3552,3959,31,23
"276","V276",97.56,2.78,"Fished","Andaman","Central Indo_Pacific",3612,2222,46,27
"277","V277",97.4,2.86,"Fished","Andaman","Central Indo_Pacific",3586,450,58,32
"278","V278",97.4,2.78,"Fished","Andaman","Central Indo_Pacific",3605,761,60,27
"279","V279",97.16,3.26,"Fished","Andaman","Central Indo_Pacific",3552,2714,27,30
"280","V280",97.08,3.26,"Fished","Andaman","Central Indo_Pacific",3555,6566,25,25
"281","V281",97.08,3.1,"Fished","Andaman","Central Indo_Pacific",3538,532,37,32
"282","V282",97.08,3.18,"Fished","Andaman","Central Indo_Pacific",3632,483,66,41
"283","V283",97,3.42,"Fished","Andaman","Central Indo_Pacific",3676,617,61,29
"284","V284",97.08,3.34,"Fished","Andaman","Central Indo_Pacific",2486,3556,58,31
"285","V285",97,3.34,"Fished","Andaman","Central Indo_Pacific",1669,581,46,45
"286","V286",97.16,2.94,"Fished","Andaman","Central Indo_Pacific",3628,4189,63,29
"287","V287",97.24,2.94,"Fished","Andaman","Central Indo_Pacific",1735,488,38,48
"288","V288",95.72,2.94,"Fished","Andaman","Central Indo_Pacific",3123,1373,61,25
"289","V289",95.4,3.02,"Fished","Andaman","Central Indo_Pacific",3484,7945,42,20
"290","V290",97.24,3.02,"Fished","Andaman","Central Indo_Pacific",3484,8234,54,36
"291","V291",95.4,2.94,"Fished","Andaman","Central Indo_Pacific",3175,467,57,34
"292","V292",95.88,2.54,"Fished","Andaman","Central Indo_Pacific",3084,6902,42,37
"293","V293",96.04,2.54,"Fished","Andaman","Central Indo_Pacific",2800,1098,64,27
"294","V294",97.56,2.62,"Fished","Andaman","Central Indo_Pacific",2972,7513,72,62
"295","V295",96.04,2.46,"Fished","Andaman","Central Indo_Pacific",3199,6637,64,21
"296","V296",96.12,2.46,"Fished","Andaman","Central Indo_Pacific",3534,1176,62,40
"297","V297",95.8,2.54,"Fished","Andaman","Central Indo_Pacific",3063,3231,64,41
"298","V298",96.44,2.54,"MPA","Andaman","Central Indo_Pacific",2920,1705,75,56
"299","V299",95.72,2.7,"Fished","Andaman","Central Indo_Pacific",3383,5368,55,16
"300","V300",97.32,2.78,"Fished","Andaman","Central Indo_Pacific",2883,1877,72,55
"301","V301",96.12,2.78,"Fished","Andaman","Central Indo_Pacific",3437,2462,67,40
"302","V302",96.44,2.62,"MPA","Andaman","Central Indo_Pacific",3339,1883,43,57
"303","V303",95.8,2.62,"Fished","Andaman","Central Indo_Pacific",2646,2410,48,77
"304","V304",96.36,2.7,"Fished","Andaman","Central Indo_Pacific",3303,2522,98,39
"305","V305",97.48,2.3,"MPA","Andaman","Central Indo_Pacific",3109,280,56,39
"306","V306",97.56,2.3,"Fished","Andaman","Central Indo_Pacific",3005,442,63,54
"307","V307",96.44,2.3,"Fished","Andaman","Central Indo_Pacific",3567,7558,101,42
"308","V308",97.24,2.38,"Fished","Andaman","Central Indo_Pacific",2773,3305,69,65
"309","V309",96.12,2.38,"Fished","Andaman","Central Indo_Pacific",2763,1284,84,68
