pare5in,pare5out,pare5LR,crypto5in,crypto5out,crypto5LR,transi15in,transi15out,transi15LR,resid15in,resid15out,resid15LR
55.12820513,44.87179487,0,50.2994012,38.92215569,10.77844311,73.03370787,26.96629213,0,57.21393035,39.30348259,3.482587065
28.57142857,61.9047619,9.523809524,31.57894737,49.12280702,19.29824561,40,60,0,36.53846154,59.61538462,3.846153846
30.94170404,20.62780269,48.43049327,38.73239437,30.28169014,30.98591549,82.22222222,17.77777778,0,59.91902834,34.41295547,5.668016194
50,37.5,12.5,50,40.10989011,9.89010989,70.32967033,29.67032967,0,56.60377358,41.50943396,1.886792453
40.66390041,15.3526971,43.98340249,40,23.125,36.875,73.68421053,16.44736842,9.868421053,57.00325733,35.83061889,7.166123779
59.7826087,38.04347826,2.173913043,47.12041885,38.21989529,14.65968586,78.125,21.875,0,48.90829694,49.78165939,1.310043668
37.38317757,34.57943925,28.03738318,38.85350318,50.31847134,10.82802548,85.26315789,14.73684211,0,53.17073171,46.34146341,0.487804878
43.75,56.25,0,46.85314685,48.25174825,4.895104895,74.72527473,25.27472527,0,53.29949239,42.1319797,4.568527919
57.14285714,42.85714286,0,50,47.61904762,2.380952381,82.35294118,17.64705882,0,50,46.11111111,3.888888889
30.37974684,25.3164557,44.30379747,23.98523985,29.15129151,46.86346863,50,50,0,42.63157895,54.21052632,3.157894737
52.80898876,47.19101124,0,55.48387097,40.64516129,3.870967742,67.12328767,32.87671233,0,56.11111111,43.33333333,0.555555556
25,22.95918367,52.04081633,22.6618705,29.13669065,48.20143885,35.22727273,44.31818182,20.45454545,42.92682927,51.70731707,5.365853659
35.18518519,27.77777778,37.03703704,25.74257426,23.76237624,50.4950495,58.33333333,29.16666667,12.5,37.66233766,37.66233766,24.67532468
14.18685121,18.68512111,67.12802768,24.43609023,35.71428571,39.84962406,34.7826087,60.86956522,4.347826087,37.78801843,60.36866359,1.843317972
33.33333333,54.38596491,12.28070175,42.22222222,55,2.777777778,39.62264151,60.37735849,0,40.17857143,58.92857143,0.892857143
60.2739726,39.7260274,0,57.93650794,42.06349206,0,96.77419355,3.225806452,0,57.3964497,39.64497041,2.958579882
57.95454545,35.22727273,6.818181818,51.28205128,45.51282051,3.205128205,58.62068966,41.37931034,0,45.5399061,53.05164319,1.408450704
39.77272727,57.95454545,2.272727273,34.13173653,57.48502994,8.383233533,48.68421053,47.36842105,3.947368421,32.65306122,65.81632653,1.530612245
30.25641026,19.48717949,50.25641026,33.19148936,29.78723404,37.0212766,57.14285714,42.85714286,0,51.86721992,44.81327801,3.319502075
44.17475728,21.84466019,33.98058252,45.58823529,28.67647059,25.73529412,58.82352941,30.58823529,10.58823529,54.92957746,40.84507042,4.225352113
19.49152542,22.88135593,57.62711864,22.13740458,30.91603053,46.94656489,36.95652174,50,13.04347826,41,57.5,1.5
57.64705882,42.35294118,0,46.5437788,32.71889401,20.73732719,78.7037037,10.18518519,11.11111111,58.68544601,41.31455399,0
63.33333333,36.66666667,0,53.98773006,42.94478528,3.067484663,88.54166667,11.45833333,0,59.31372549,39.21568627,1.470588235
10.52631579,36.84210526,52.63157895,44.06779661,37.28813559,18.6440678,66.66666667,33.33333333,0,43.33333333,50,6.666666667
42.52873563,20.68965517,36.7816092,45.72649573,32.90598291,21.36752137,85.45454545,14.54545455,0,65.02057613,31.6872428,3.29218107
14.62686567,23.28358209,62.08955224,13.3748056,18.19595645,68.42923795,33.33333333,63.80952381,2.857142857,30.45563549,38.84892086,30.69544365
9.375,88.54166667,2.083333333,21.35416667,66.14583333,12.5,12.76595745,87.23404255,0,25.96153846,74.03846154,0
4.87804878,32.68292683,62.43902439,13.46801347,46.46464646,40.06734007,10.71428571,89.28571429,0,22.76785714,76.78571429,0.446428571
4.221635884,19.26121372,76.5171504,4.795737123,19.71580817,75.48845471,5.454545455,94.54545455,0,20.657277,76.5258216,2.816901408
20.60085837,30.472103,48.92703863,25.40716612,41.04234528,33.5504886,34.54545455,65.45454545,0,34.42028986,59.7826087,5.797101449
20.09803922,36.76470588,43.1372549,35.81560284,44.68085106,19.5035461,27.16763006,39.88439306,32.94797688,38.63636364,57.14285714,4.220779221
27.65957447,28.93617021,43.40425532,41.36690647,39.20863309,19.42446043,17.91044776,82.08955224,0,45.21072797,46.36015326,8.429118774
7.058823529,16.8627451,76.07843137,7.56429652,9.531013616,82.90468986,27.02702703,72.97297297,0,24.21052632,62.10526316,13.68421053
11.11111111,44.44444444,44.44444444,22.62443439,55.20361991,22.1719457,21.875,78.125,0,31.8627451,67.64705882,0.490196078
62.5,37.5,0,29.83870968,41.12903226,29.03225806,50,50,0,38.20224719,60.6741573,1.123595506
15.96638655,31.09243697,52.94117647,33.19838057,43.72469636,23.07692308,27.77777778,72.22222222,0,41.8972332,56.91699605,1.185770751
28.04878049,69.51219512,2.43902439,21.53846154,78.46153846,0,5.660377358,94.33962264,0,15.33333333,84.66666667,0
