"","From","To","Prob"
"371976","V1876","V1822",18
"371979","V1879","V1822",24
"371981","V1881","V1822",21
"371984","V1884","V1822",33
"371989","V1889","V1822",3
"371993","V1893","V1822",6
"371995","V1895","V1822",6
"371996","V1896","V1822",3
"371997","V1897","V1822",9
"371998","V1898","V1822",3
"371999","V1899","V1822",30
"372003","V1903","V1822",3
"372004","V1904","V1822",3
"372006","V1906","V1822",6
"372014","V1914","V1822",6
"372015","V1915","V1822",3
"372017","V1917","V1822",3
"372019","V1919","V1822",42
"372020","V1920","V1822",15
"372021","V1921","V1822",3
"372022","V1922","V1822",51
"372023","V1923","V1822",6
"372026","V1926","V1822",3
"372027","V1927","V1822",15
"372030","V1930","V1822",30
"372032","V1932","V1822",12
"372035","V1935","V1822",3
"372036","V1936","V1822",9
"372037","V1937","V1822",6
"386518","V1614","V1823",3
"386519","V1615","V1823",9
"386520","V1616","V1823",3
"386522","V1618","V1823",9
"386527","V1623","V1823",6
"386528","V1624","V1823",3
"386529","V1625","V1823",27
"386530","V1626","V1823",3
"386533","V1629","V1823",3
"386535","V1631","V1823",12
"386538","V1634","V1823",3
"386539","V1635","V1823",12
"386540","V1636","V1823",3
"386542","V1638","V1823",18
"386543","V1639","V1823",21
"386544","V1640","V1823",15
"386545","V1641","V1823",6
"386546","V1642","V1823",39
"386547","V1643","V1823",9
"386548","V1644","V1823",75
"386552","V1648","V1823",27
"386554","V1650","V1823",12
"386555","V1651","V1823",12
"386556","V1652","V1823",12
"386557","V1653","V1823",24
"386558","V1654","V1823",12
"386560","V1656","V1823",24
"386562","V1658","V1823",3
"386568","V1664","V1823",6
"386570","V1666","V1823",3
"386571","V1667","V1823",9
"386573","V1669","V1823",3
"386574","V1670","V1823",3
"386575","V1671","V1823",12
"386600","V1696","V1823",3
"386601","V1697","V1823",12
"386611","V1707","V1823",3
"386612","V1708","V1823",48
"386613","V1709","V1823",45
"386615","V1711","V1823",15
"386616","V1712","V1823",18
"386618","V1714","V1823",42
"386619","V1715","V1823",15
"386620","V1716","V1823",3
"386622","V1718","V1823",12
"386624","V1720","V1823",3
"386625","V1721","V1823",6
"386626","V1722","V1823",6
"386647","V1743","V1823",9
"386648","V1744","V1823",3
"386657","V1753","V1823",18
"386718","V1814","V1823",9
"386720","V1816","V1823",3
"386721","V1817","V1823",9
"386725","V1821","V1823",6
"386732","V1828","V1823",3
"386736","V1832","V1823",9
"386745","V1841","V1823",6
"386752","V1848","V1823",30
"386753","V1849","V1823",24
"386755","V1851","V1823",3
"386756","V1852","V1823",27
"386757","V1853","V1823",3
"386759","V1855","V1823",6
"386761","V1857","V1823",36
"386766","V1862","V1823",18
"386768","V1864","V1823",3
"386771","V1867","V1823",6
"386773","V1869","V1823",33
"386774","V1870","V1823",30
"386775","V1871","V1823",24
